Date,Time,levelname,Component,message,processname
2020-05-26,"09:45:23,848",WARNING,ForkPoolWorker-6,"too few updates, training might not converge; consider increasing the number of passes or iterations to improve accuracy",celery1-6.log
2020-05-26,"09:45:23,848",INFO,ForkPoolWorker-6,"running online (single-pass) LDA training, 5 topics, 1 passes over the supplied corpus of 1872 documents, updating model once every 1872 documents, evaluating perplexity every 1872 documents, iterating 50x with a convergence threshold of 0.001000",celery1-6.log
2020-05-26,"09:45:23,836",INFO,ForkPoolWorker-6,using serial LDA version on this node,celery1-6.log
2020-05-26,"09:45:23,834",INFO,ForkPoolWorker-6,using symmetric eta at 0.2,celery1-6.log
2020-05-26,"09:45:31,194",INFO,ForkPoolWorker-6,"topic #1 (0.200): 0.011*""코로나"" + 0.006*""환경"" + 0.005*""사업"" + 0.005*""기자"" + 0.005*""지원"" + 0.004*""경영"" + 0.004*""기업"" + 0.004*""투자"" + 0.003*""제공"" + 0.003*""대한""",celery1-6.log
2020-05-26,"09:45:23,833",INFO,ForkPoolWorker-6,using symmetric alpha at 0.2,celery1-6.log
2020-05-26,"10:17:13,931",WARNING,ForkPoolWorker-6,make graph,celery6-6.log
2020-05-26,"10:17:14,370",WARNING,ForkPoolWorker-6,X.shape :,celery6-6.log
2020-05-26,"09:40:49,570",INFO,ForkPoolWorker-6,"topic #4 (0.200): 0.009*""코로나"" + 0.008*""기업"" + 0.007*""환경"" + 0.006*""시장"" + 0.005*""개발"" + 0.005*""기술"" + 0.005*""기자"" + 0.005*""사업"" + 0.004*""종목"" + 0.004*""지원""",celery9-6.log
2020-05-26,"09:40:49,569",INFO,ForkPoolWorker-6,"topic #3 (0.200): 0.010*""기업"" + 0.009*""코로나"" + 0.008*""한국"" + 0.007*""금융"" + 0.007*""투자"" + 0.005*""경제"" + 0.005*""시장"" + 0.005*""데이터"" + 0.004*""환경"" + 0.004*""은행""",celery9-6.log
2020-05-26,"10:17:14,371",WARNING,ForkPoolWorker-6,"(1872, 1323)",celery6-6.log
2020-05-26,"10:17:14,804",WARNING,ForkPoolWorker-6,graphbuild_finish,celery6-6.log
2020-05-26,"09:45:23,531",INFO,ForkPoolWorker-6,"built Dictionary(15835 unique tokens: ['가능', '가들', '가운데', '가을', '가족']...) from 1872 documents (total 426931 corpus positions)",celery1-6.log
